Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2012-06-12,0.29,0.3,0.26,0.27,520700,0,0
2012-06-13,0.28,0.33,0.27,0.31,186600,0,0
2012-06-14,0.31,0.32,0.29,0.31,205200,0,0
2012-06-15,0.31,0.33,0.29,0.3,295800,0,0
2012-06-18,0.33,0.33,0.28,0.29,244700,0,0
2012-06-19,0.29,0.3,0.28,0.28,343000,0,0
2012-06-20,0.28,0.3,0.28,0.29,104600,0,0
2012-06-21,0.28,0.3,0.28,0.28,545500,0,0
2012-06-22,0.28,0.3,0.25,0.25,13110000,0,0
2012-06-25,0.29,0.38,0.27,0.32,2472900,0,0
2012-06-26,0.35,0.35,0.28,0.3,1501200,0,0
2012-06-27,0.32,0.34,0.29,0.31,334400,0,0
2012-06-28,0.32,0.33,0.31,0.32,412700,0,0
2012-06-29,0.33,0.34,0.31,0.32,399600,0,0
2012-07-02,0.35,0.35,0.31,0.32,250500,0,0
2012-07-03,0.33,0.33,0.31,0.31,38400,0,0
2012-07-05,0.31,0.33,0.3,0.31,411500,0,0
2012-07-06,0.3,0.32,0.29,0.29,353900,0,0
2012-07-09,0.29,0.3,0.29,0.29,112700,0,0
2012-07-10,0.29,0.3,0.28,0.29,186600,0,0
2012-07-11,0.27,0.3,0.26,0.27,164100,0,0
2012-07-12,0.28,0.28,0.26,0.27,218800,0,0
2012-07-13,0.27,0.28,0.26,0.27,718400,0,0
2012-07-16,0.27,0.29,0.26,0.27,301200,0,0
2012-07-17,0.26,0.28,0.26,0.27,205200,0,0
2012-07-18,0.25,0.27,0.25,0.25,348800,0,0
2012-07-19,0.29,0.29,0.26,0.27,135300,0,0
2012-07-20,0.28,0.28,0.27,0.27,465100,0,0
2012-07-23,0.27,0.27,0.26,0.27,185700,0,0
2012-07-24,0.27,0.29,0.26,0.27,246200,0,0
2012-07-25,0.29,0.29,0.27,0.29,292900,0,0
2012-07-26,0.29,0.32,0.28,0.31,1160600,0,0
2012-07-27,0.32,0.36,0.31,0.36,1065600,0,0
2012-07-30,0.36,0.36,0.33,0.33,243800,0,0
2012-07-31,0.32,0.35,0.32,0.32,273200,0,0
2012-08-01,0.33,0.34,0.33,0.34,212200,0,0
2012-08-02,0.35,0.36,0.33,0.34,346900,0,0
2012-08-03,0.34,0.34,0.32,0.33,39000,0,0
2012-08-06,0.34,0.34,0.32,0.33,122600,0,0
2012-08-07,0.34,0.35,0.31,0.33,260800,0,0
2012-08-08,0.33,0.33,0.31,0.32,176800,0,0
2012-08-09,0.36,0.36,0.32,0.33,256500,0,0
2012-08-10,0.36,0.36,0.31,0.33,111900,0,0
2012-08-13,0.33,0.34,0.31,0.33,550600,0,0
2012-08-14,0.33,0.33,0.31,0.33,575700,0,0
2012-08-15,0.33,0.33,0.32,0.32,327300,0,0
2012-08-16,0.33,0.33,0.32,0.33,454900,0,0
2012-08-17,0.33,0.33,0.31,0.31,53600,0,0
2012-08-20,0.31,0.32,0.31,0.32,52000,0,0
2012-08-21,0.32,0.32,0.3,0.31,112700,0,0
2012-08-22,0.3,0.31,0.3,0.31,52200,0,0
2012-08-23,0.31,0.32,0.3,0.3,46600,0,0
2012-08-24,0.3,0.3,0.29,0.3,278200,0,0
2012-08-27,0.3,0.3,0.28,0.28,158400,0,0
2012-08-28,0.28,0.32,0.27,0.29,345100,0,0
2012-08-29,0.3,0.32,0.3,0.31,143300,0,0
2012-08-30,0.29,0.31,0.28,0.28,615000,0,0
2012-08-31,0.28,0.3,0.28,0.29,334500,0,0
2012-09-04,0.27,0.3,0.27,0.3,93500,0,0
2012-09-05,0.3,0.31,0.29,0.29,1124300,0,0
2012-09-06,0.29,0.31,0.29,0.3,595100,0,0
2012-09-07,0.3,0.31,0.3,0.3,695700,0,0
2012-09-10,0.28,0.32,0.28,0.31,2344300,0,0
2012-09-11,0.31,0.32,0.3,0.32,315000,0,0
2012-09-12,0.32,0.35,0.31,0.32,993300,0,0
2012-09-13,0.33,0.38,0.32,0.38,777400,0,0
2012-09-14,0.38,0.44,0.36,0.39,719700,0,0
2012-09-17,0.39,0.44,0.39,0.44,922900,0,0
2012-09-18,0.44,0.54,0.44,0.48,468000,0,0
2012-09-19,0.55,0.55,0.49,0.5,575500,0,0
2012-09-20,0.46,0.58,0.46,0.53,554100,0,0
2012-09-21,0.54,0.57,0.5,0.5,752900,0,0
2012-09-24,0.52,0.55,0.5,0.5,305300,0,0
2012-09-25,0.51,0.52,0.48,0.48,135600,0,0
2012-09-26,0.5,0.5,0.38,0.4,403700,0,0
2012-09-27,0.4,0.48,0.4,0.46,120800,0,0
2012-09-28,0.47,0.47,0.43,0.46,95500,0,0
2012-10-01,0.45,0.5,0.45,0.48,160800,0,0
2012-10-02,0.5,0.5,0.45,0.45,146700,0,0
2012-10-03,0.45,0.45,0.43,0.43,124000,0,0
2012-10-04,0.49,0.49,0.43,0.45,63700,0,0
2012-10-05,0.45,0.51,0.43,0.47,484800,0,0
2012-10-08,0.47,0.47,0.45,0.46,41600,0,0
2012-10-09,0.44,0.45,0.43,0.44,132600,0,0
2012-10-10,0.42,0.46,0.41,0.43,52600,0,0
2012-10-11,0.46,0.46,0.42,0.43,211600,0,0
2012-10-12,0.45,0.46,0.39,0.39,621700,0,0
2012-10-15,0.4,0.41,0.38,0.38,163800,0,0
2012-10-16,0.4,0.42,0.38,0.41,189100,0,0
2012-10-17,0.41,0.43,0.4,0.43,222200,0,0
2012-10-18,0.4,0.43,0.4,0.4,313700,0,0
2012-10-19,0.4,0.42,0.39,0.4,174700,0,0
2012-10-22,0.4,0.4,0.39,0.39,54200,0,0
2012-10-23,0.4,0.42,0.39,0.42,342300,0,0
2012-10-24,0.41,0.41,0.39,0.41,79800,0,0
2012-10-25,0.43,0.43,0.39,0.43,50000,0,0
2012-10-26,0.4,0.41,0.39,0.39,177400,0,0
2012-10-31,0.4,0.41,0.37,0.41,184200,0,0
2012-11-01,0.42,0.42,0.39,0.39,269100,0,0
2012-11-02,0.39,0.4,0.38,0.39,196100,0,0
2012-11-05,0.38,0.4,0.38,0.39,233400,0,0
2012-11-06,0.39,0.39,0.38,0.38,490000,0,0
2012-11-07,0.38,0.39,0.37,0.37,150000,0,0
2012-11-08,0.37,0.4,0.37,0.37,56100,0,0
2012-11-09,0.37,0.37,0.34,0.36,660400,0,0
2012-11-12,0.35,0.37,0.32,0.32,194000,0,0
2012-11-13,0.32,0.36,0.32,0.33,246400,0,0
2012-11-14,0.33,0.36,0.33,0.35,265600,0,0
2012-11-15,0.35,0.35,0.28,0.29,577900,0,0
2012-11-16,0.31,0.32,0.28,0.29,303500,0,0
2012-11-19,0.3,0.31,0.29,0.3,114500,0,0
2012-11-20,0.33,0.33,0.31,0.32,213300,0,0
2012-11-21,0.32,0.36,0.31,0.35,843800,0,0
2012-11-23,0.33,0.35,0.32,0.32,41500,0,0
2012-11-26,0.33,0.35,0.32,0.33,327700,0,0
2012-11-27,0.33,0.34,0.33,0.34,215000,0,0
2012-11-28,0.33,0.34,0.33,0.33,73800,0,0
2012-11-29,0.32,0.35,0.32,0.33,179300,0,0
2012-11-30,0.36,0.39,0.33,0.39,961100,0,0
2012-12-03,0.39,0.41,0.39,0.4,404300,0,0
2012-12-04,0.41,0.43,0.4,0.4,615700,0,0
2012-12-05,0.43,0.43,0.38,0.41,167300,0,0
2012-12-06,0.42,0.42,0.4,0.42,201600,0,0
2012-12-07,0.42,0.42,0.4,0.4,408100,0,0
2012-12-10,0.4,0.41,0.39,0.39,1170900,0,0
2012-12-11,0.42,0.42,0.39,0.42,395700,0,0
